Numbers of events:
Bin 	Total 	Fired 	ZNA 	ZNC 	OnlyZNA	OnlyZNC	Both 	None
1 	271 	139 	85 	80 	59 	54 	26 	132 
2 	277 	155 	92 	91 	64 	63 	28 	122 
3 	375 	218 	136 	112 	106 	82 	30 	157 
4 	504 	325 	187 	191 	134 	138 	53 	179 
5 	496 	320 	206 	177 	143 	114 	63 	176 
sum 	2645 	1688 	1014 	960 	728 	674 	286 	957 


Percentages:
Bin 	Both[%]	err 	ZNA[%]	err 	ZNC[%]	err 	None[%]	err 
1 	9.6 	1.8 	21.8 	2.5 	19.9 	2.4 	48.7 	3.0 
2 	10.1 	1.8 	23.1 	2.5 	22.7 	2.5 	44.0 	3.0 
3 	8.0 	1.4 	28.3 	2.3 	21.9 	2.1 	41.9 	2.5 
4 	10.5 	1.4 	26.6 	2.0 	27.4 	2.0 	35.5 	2.1 
5 	12.7 	1.5 	28.8 	2.0 	23.0 	1.9 	35.5 	2.1 
