No. of events:
Bin 	total 	fired 	fZNA 	fZNC 	0n0n	Xn0n	0nXn	XnXn
1 	340 	178 	108 	105 	162 	73 	70 	35 
2 	369 	210 	125 	112 	159 	98 	85 	27 
3 	522 	324 	191 	187 	198 	137 	133 	54 
4 	692 	445 	282 	247 	247 	198 	163 	84 
sum 	2645 	1688 	1014 	960 	728 	674 	286 	957 


Percentages (all events):
Bin 	0n0n[%]	err 	Xn0n[%]	err 	0nXn[%]	err 	XnXn[%]	err 
1 	47.6 	2.7 	21.5 	2.2 	20.6 	2.2 	10.3 	1.7 
2 	43.1 	2.6 	26.6 	2.3 	23.0 	2.2 	7.3 	1.4 
3 	37.9 	2.1 	26.2 	1.9 	25.5 	1.9 	10.3 	1.3 
4 	35.7 	1.8 	28.6 	1.7 	23.6 	1.6 	12.1 	1.2 
