Numbers of events:
Bin 	Total 	Fired 	ZNA 	ZNC 	OnlyZNA	OnlyZNC	Both 	None
1 	161 	99 	61 	62 	37 	38 	24 	62 
2 	161 	113 	67 	61 	52 	46 	15 	48 
3 	194 	154 	87 	91 	63 	67 	24 	40 
4 	206 	165 	93 	95 	70 	72 	23 	41 
sum 	722 	531 	308 	309 	222 	223 	86 	191 


Percentages:
Bin 	Both[%]	err 	ZNA[%]	err 	ZNC[%]	err 	None[%]	err 
1 	14.9 	2.8 	23.0 	3.3 	23.6 	3.3 	38.5 	3.8 
2 	9.3 	2.3 	32.3 	3.7 	28.6 	3.5 	29.8 	3.6 
3 	12.4 	2.4 	32.5 	3.3 	34.5 	3.4 	20.6 	2.9 
4 	11.2 	2.2 	34.0 	3.3 	35.0 	3.3 	19.9 	2.8 
