Numbers of events:
Bin 	Total 	Fired 	ZNA 	ZNC 	OnlyZNA	OnlyZNC	Both 	None
1 	340 	178 	108 	105 	73 	70 	35 	162 
2 	369 	210 	125 	112 	98 	85 	27 	159 
3 	522 	324 	191 	187 	137 	133 	54 	198 
4 	692 	445 	282 	247 	198 	163 	84 	247 
sum 	2645 	1688 	1014 	960 	728 	674 	286 	957 


Percentages:
Bin 	Both[%]	err 	ZNA[%]	err 	ZNC[%]	err 	None[%]	err 
1 	10.3 	1.7 	21.5 	2.2 	20.6 	2.2 	47.6 	2.7 
2 	7.3 	1.4 	26.6 	2.3 	23.0 	2.2 	43.1 	2.6 
3 	10.3 	1.3 	26.2 	1.9 	25.5 	1.9 	37.9 	2.1 
4 	12.1 	1.2 	28.6 	1.7 	23.6 	1.6 	35.7 	1.8 
