No. of events:
Bin 	total 	fired 	fZNA 	fZNC 	0n0n	Xn0n	0nXn	XnXn
1 	161 	99 	61 	62 	62 	37 	38 	24 
2 	161 	113 	67 	61 	48 	52 	46 	15 
3 	194 	154 	87 	91 	40 	63 	67 	24 
4 	206 	165 	93 	95 	41 	70 	72 	23 
sum 	722 	531 	308 	309 	222 	223 	86 	191 


Percentages (all events):
Bin 	0n0n[%]	err 	Xn0n[%]	err 	0nXn[%]	err 	XnXn[%]	err 
1 	38.5 	3.8 	23.0 	3.3 	23.6 	3.3 	14.9 	2.8 
2 	29.8 	3.6 	32.3 	3.7 	28.6 	3.5 	9.3 	2.3 
3 	20.6 	2.9 	32.5 	3.3 	34.5 	3.4 	12.4 	2.4 
4 	19.9 	2.8 	34.0 	3.3 	35.0 	3.3 	11.2 	2.2 
