No. of events:
Bin 	total 	fired 	fZNA 	fZNC 	0n0n	Xn0n	0nXn	XnXn
1 	271 	139 	85 	80 	132 	59 	54 	26 
2 	277 	155 	92 	91 	122 	64 	63 	28 
3 	375 	218 	136 	112 	157 	106 	82 	30 
4 	504 	325 	187 	191 	179 	134 	138 	53 
5 	496 	320 	206 	177 	176 	143 	114 	63 
sum 	2645 	1688 	1014 	960 	728 	674 	286 	957 


Percentages (all events):
Bin 	0n0n[%]	err 	Xn0n[%]	err 	0nXn[%]	err 	XnXn[%]	err 
1 	48.7 	3.0 	21.8 	2.5 	19.9 	2.4 	9.6 	1.8 
2 	44.0 	3.0 	23.1 	2.5 	22.7 	2.5 	10.1 	1.8 
3 	41.9 	2.5 	28.3 	2.3 	21.9 	2.1 	8.0 	1.4 
4 	35.5 	2.1 	26.6 	2.0 	27.4 	2.0 	10.5 	1.4 
5 	35.5 	2.1 	28.8 	2.0 	23.0 	1.9 	12.7 	1.5 
