++++ EVENT no. 1 ++++
 i = 39	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 0.91844	p_x = 0.00000	p_y = -0.00000	p_z = 0.00000	m = 0.00000
 i = 40	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 1.19229	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 41	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 0.61891	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 42	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 0.10461	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 43	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = -0.28672	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 44	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 0.11041	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 45	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = -0.16053	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 46	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 1.19758	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 47	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = -0.12153	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 48	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = -0.39912	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 49	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = 1.14625	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 50	mother = 6	pdg = 50000050	name = XXX	daughter = -1	eta = -0.32684	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 51	mother = 6	pdg = 50000050	name = XXX	daughter = 54	eta = 0.63428	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
