Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	6.953		0.175
2	0.040	0.080	7.171		0.104
3	0.080	0.120	7.146		0.081
4	0.120	0.160	7.121		0.070
5	0.160	0.200	6.997		0.063
6	0.200	0.240	6.837		0.058
7	0.240	0.280	6.773		0.055
8	0.280	0.320	6.610		0.053
9	0.320	0.360	6.229		0.051
10	0.360	0.400	5.996		0.050
11	0.400	0.440	5.723		0.049
12	0.440	0.480	5.489		0.049
13	0.480	0.520	5.176		0.050
14	0.520	0.560	5.178		0.052
15	0.560	0.600	5.009		0.054
16	0.600	0.680	4.818		0.041
17	0.680	0.760	4.643		0.047
18	0.760	0.840	4.470		0.056
19	0.840	0.920	4.610		0.070
20	0.920	1.000	4.460		0.089
21	1.000	1.150	4.434		0.096
22	1.150	1.300	4.423		0.176
23	1.300	1.450	4.272		0.352
24	1.450	1.600	2.692		0.610
