Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	16.434		0.280
2	0.040	0.080	16.736		0.166
3	0.080	0.120	16.807		0.130
4	0.120	0.160	16.967		0.113
5	0.160	0.200	17.202		0.103
6	0.200	0.240	16.814		0.095
7	0.240	0.280	16.996		0.091
8	0.280	0.320	16.989		0.089
9	0.320	0.360	16.987		0.088
10	0.360	0.400	17.116		0.088
11	0.400	0.440	17.216		0.090
12	0.440	0.480	17.347		0.092
13	0.480	0.520	17.078		0.095
14	0.520	0.560	17.376		0.100
15	0.560	0.600	17.364		0.106
16	0.600	0.680	17.382		0.082
17	0.680	0.760	17.523		0.097
18	0.760	0.840	17.324		0.116
19	0.840	0.920	17.617		0.146
20	0.920	1.000	17.595		0.187
21	1.000	1.150	17.814		0.204
22	1.150	1.300	17.973		0.377
23	1.300	1.450	17.753		0.762
24	1.450	1.600	18.439		1.714
