Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	13.889		0.255
2	0.040	0.080	14.190		0.151
3	0.080	0.120	14.084		0.118
4	0.120	0.160	14.217		0.102
5	0.160	0.200	14.199		0.092
6	0.200	0.240	13.720		0.084
7	0.240	0.280	13.662		0.081
8	0.280	0.320	13.415		0.078
9	0.320	0.360	13.086		0.076
10	0.360	0.400	12.890		0.075
11	0.400	0.440	12.541		0.075
12	0.440	0.480	12.363		0.076
13	0.480	0.520	11.777		0.077
14	0.520	0.560	11.708		0.080
15	0.560	0.600	11.157		0.082
16	0.600	0.680	10.652		0.062
17	0.680	0.760	9.963		0.071
18	0.760	0.840	9.218		0.082
19	0.840	0.920	8.607		0.098
20	0.920	1.000	7.813		0.120
21	1.000	1.150	7.056		0.122
22	1.150	1.300	5.897		0.205
23	1.300	1.450	5.160		0.388
24	1.450	1.600	3.634		0.712
