Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	4.210		0.134
2	0.040	0.080	4.386		0.080
3	0.080	0.120	4.300		0.062
4	0.120	0.160	4.311		0.054
5	0.160	0.200	4.163		0.048
6	0.200	0.240	4.033		0.044
7	0.240	0.280	3.968		0.042
8	0.280	0.320	3.779		0.039
9	0.320	0.360	3.533		0.038
10	0.360	0.400	3.317		0.036
11	0.400	0.440	3.115		0.036
12	0.440	0.480	2.922		0.036
13	0.480	0.520	2.665		0.035
14	0.520	0.560	2.629		0.036
15	0.560	0.600	2.406		0.037
16	0.600	0.680	2.280		0.028
17	0.680	0.760	2.088		0.031
18	0.760	0.840	1.903		0.036
19	0.840	0.920	1.857		0.044
20	0.920	1.000	1.616		0.053
21	1.000	1.150	1.539		0.056
22	1.150	1.300	1.267		0.093
23	1.300	1.450	0.999		0.167
24	1.450	1.600	0.808		0.331
