Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	10.065		0.213
2	0.040	0.080	10.408		0.127
3	0.080	0.120	10.294		0.099
4	0.120	0.160	10.473		0.086
5	0.160	0.200	10.416		0.078
6	0.200	0.240	10.093		0.071
7	0.240	0.280	10.051		0.068
8	0.280	0.320	9.772		0.065
9	0.320	0.360	9.647		0.064
10	0.360	0.400	9.464		0.063
11	0.400	0.440	9.196		0.063
12	0.440	0.480	9.064		0.064
13	0.480	0.520	8.638		0.065
14	0.520	0.560	8.610		0.068
15	0.560	0.600	8.261		0.070
16	0.600	0.680	7.837		0.053
17	0.680	0.760	7.377		0.060
18	0.760	0.840	6.858		0.070
19	0.840	0.920	6.453		0.084
20	0.920	1.000	5.870		0.103
21	1.000	1.150	5.406		0.106
22	1.150	1.300	4.684		0.181
23	1.300	1.450	3.994		0.339
24	1.450	1.600	2.961		0.641
