Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	6.126		0.164
2	0.040	0.080	6.231		0.096
3	0.080	0.120	6.190		0.075
4	0.120	0.160	6.196		0.065
5	0.160	0.200	6.061		0.058
6	0.200	0.240	5.958		0.054
7	0.240	0.280	5.906		0.051
8	0.280	0.320	5.741		0.049
9	0.320	0.360	5.444		0.047
10	0.360	0.400	5.208		0.046
11	0.400	0.440	4.997		0.046
12	0.440	0.480	4.773		0.046
13	0.480	0.520	4.505		0.046
14	0.520	0.560	4.514		0.048
15	0.560	0.600	4.329		0.050
16	0.600	0.680	4.176		0.038
17	0.680	0.760	4.041		0.044
18	0.760	0.840	3.898		0.052
19	0.840	0.920	3.992		0.065
20	0.920	1.000	3.856		0.082
21	1.000	1.150	3.810		0.088
22	1.150	1.300	3.766		0.162
23	1.300	1.450	3.717		0.327
24	1.450	1.600	2.153		0.544
