Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	3.799		0.127
2	0.040	0.080	3.806		0.075
3	0.080	0.120	3.712		0.058
4	0.120	0.160	3.743		0.050
5	0.160	0.200	3.570		0.044
6	0.200	0.240	3.530		0.041
7	0.240	0.280	3.384		0.038
8	0.280	0.320	3.247		0.036
9	0.320	0.360	3.100		0.035
10	0.360	0.400	2.859		0.034
11	0.400	0.440	2.689		0.033
12	0.440	0.480	2.517		0.033
13	0.480	0.520	2.302		0.033
14	0.520	0.560	2.275		0.034
15	0.560	0.600	2.080		0.034
16	0.600	0.680	1.926		0.025
17	0.680	0.760	1.789		0.029
18	0.760	0.840	1.619		0.033
19	0.840	0.920	1.570		0.040
20	0.920	1.000	1.396		0.049
21	1.000	1.150	1.255		0.050
22	1.150	1.300	0.999		0.082
23	1.300	1.450	0.610		0.131
24	1.450	1.600	0.673		0.302
