Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	1391.583		9.238
2	0.040	0.080	475.507		1.961
3	0.080	0.120	291.971		0.994
4	0.120	0.160	216.484		0.662
5	0.160	0.200	177.352		0.508
6	0.200	0.240	154.658		0.424
7	0.240	0.280	141.662		0.379
8	0.280	0.320	133.939		0.352
9	0.320	0.360	130.510		0.341
10	0.360	0.400	131.154		0.343
11	0.400	0.440	134.692		0.355
12	0.440	0.480	141.967		0.380
13	0.480	0.520	152.498		0.417
14	0.520	0.560	166.201		0.466
15	0.560	0.600	185.103		0.537
16	0.600	0.680	111.944		0.280
17	0.680	0.760	153.738		0.421
18	0.760	0.840	223.780		0.692
19	0.840	0.920	347.771		1.265
20	0.920	1.000	574.974		2.568
21	1.000	1.150	668.775		3.187
22	1.150	1.300	2268.107		18.972
23	1.300	1.450	9388.266		157.193
24	1.450	1.600	45551.413		1672.953
