Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	3.684		0.125
2	0.040	0.080	3.788		0.074
3	0.080	0.120	3.716		0.058
4	0.120	0.160	3.730		0.050
5	0.160	0.200	3.577		0.044
6	0.200	0.240	3.477		0.041
7	0.240	0.280	3.431		0.039
8	0.280	0.320	3.254		0.036
9	0.320	0.360	3.075		0.035
10	0.360	0.400	2.858		0.034
11	0.400	0.440	2.687		0.033
12	0.440	0.480	2.529		0.033
13	0.480	0.520	2.287		0.032
14	0.520	0.560	2.280		0.034
15	0.560	0.600	2.050		0.034
16	0.600	0.680	1.941		0.026
17	0.680	0.760	1.809		0.029
18	0.760	0.840	1.632		0.033
19	0.840	0.920	1.596		0.041
20	0.920	1.000	1.369		0.049
21	1.000	1.150	1.290		0.051
22	1.150	1.300	1.059		0.085
23	1.300	1.450	0.721		0.142
24	1.450	1.600	0.673		0.302
