0.0327 	0.051022 
0.0530 	0.049906 
0.0734 	0.046568 
0.0938 	0.042508 
0.1141 	0.039547 
0.1345 	0.036264 
0.1548 	0.033468 
0.1752 	0.030582 
0.1955 	0.028529 
0.2159 	0.026110 
0.2363 	0.024066 
0.2566 	0.022446 
0.2770 	0.020367 
0.2973 	0.018800 
0.3177 	0.017384 
0.3380 	0.016089 
0.3584 	0.014817 
0.3788 	0.013659 
0.3991 	0.012551 
0.4195 	0.011597 
0.4398 	0.010551 
0.4602 	0.009852 
0.4806 	0.009056 
0.5009 	0.008265 
0.5213 	0.007747 
0.5416 	0.007166 
0.5620 	0.006590 
0.5823 	0.005998 
0.6027 	0.005564 
0.6231 	0.005155 
0.6434 	0.004803 
0.6638 	0.004305 
0.6841 	0.004015 
0.7045 	0.003686 
0.7249 	0.003419 
0.7452 	0.003089 
0.7656 	0.002851 
0.7859 	0.002687 
0.8063 	0.002417 
0.8266 	0.002216 
0.8470 	0.002092 
0.8674 	0.001909 
0.8877 	0.001792 
0.9081 	0.001640 
0.9284 	0.001447 
0.9488 	0.001325 
0.9691 	0.001231 
0.9895 	0.001134 
1.0099 	0.000993 
1.0302 	0.000761 
