0.01 	0.059373 
0.03 	0.055188 
0.05 	0.050556 
0.07 	0.047280 
0.09 	0.043004 
0.11 	0.040247 
0.13 	0.036830 
0.15 	0.034222 
0.17 	0.031262 
0.19 	0.029034 
0.21 	0.026796 
0.23 	0.024656 
0.25 	0.023031 
0.27 	0.021088 
0.29 	0.019275 
0.31 	0.017860 
0.33 	0.016675 
0.35 	0.015395 
0.37 	0.013968 
0.39 	0.013098 
0.41 	0.012025 
0.43 	0.011132 
0.45 	0.010211 
0.47 	0.009379 
0.49 	0.008736 
0.51 	0.007946 
0.53 	0.007627 
0.55 	0.006869 
0.57 	0.006352 
0.59 	0.005788 
0.61 	0.005437 
0.63 	0.005025 
0.65 	0.004661 
0.67 	0.004223 
0.69 	0.003823 
0.71 	0.003645 
0.73 	0.003388 
0.75 	0.002983 
0.77 	0.002817 
0.79 	0.002642 
0.81 	0.002378 
0.83 	0.002193 
0.85 	0.002077 
0.87 	0.001854 
0.89 	0.001798 
0.91 	0.001633 
0.93 	0.001469 
0.95 	0.001314 
0.97 	0.001269 
0.99 	0.001174 
1.01 	0.001084 
1.03 	0.000963 
1.05 	0.000880 
1.07 	0.000727 
1.09 	0.000615 
