++++ EVENT no. 1 ++++
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = 0.53484	p_x = 0.92798	p_y = -1.42601	p_z = 0.95396	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.82968	p_x = 0.00005	p_y = 0.00008	p_z = 0.00009	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.07103	p_x = 0.00062	p_y = 0.00010	p_z = 0.00004	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.47223	p_x = 0.00008	p_y = 0.00009	p_z = 0.00006	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.18615	p_x = 0.00133	p_y = -0.00047	p_z = -0.00026	m = 0.00051
 i = 6	mother = 1	pdg = -11	name = e+	daughter = -1	eta = 0.60899	p_x = 0.01671	p_y = -0.01115	p_z = 0.01300	m = 0.00051
 i = 7	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.48795	p_x = 0.00468	p_y = -0.00363	p_z = 0.00300	m = 0.00051
 i = 8	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.15695	p_x = 0.04558	p_y = -0.00287	p_z = -0.00720	m = 0.00051
 i = 9	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.73730	p_x = -0.00016	p_y = -0.00007	p_z = -0.00014	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.54634	p_x = 0.00010	p_y = 0.00009	p_z = 0.00007	m = 0.00051
 i = 11	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.77853	p_x = -0.00016	p_y = -0.00006	p_z = -0.00014	m = 0.00051
 i = 12	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -3.49751	p_x = -0.00001	p_y = 0.00001	p_z = -0.00027	m = 0.00051
 i = 13	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.17872	p_x = 0.00018	p_y = 0.00010	p_z = 0.00004	m = 0.00051
 i = 14	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.19665	p_x = 0.00021	p_y = 0.00010	p_z = -0.00005	m = 0.00051
 i = 15	mother = 0	pdg = -11	name = e+	daughter = -1	eta = -0.63661	p_x = 0.02744	p_y = 0.00766	p_z = -0.01939	m = 0.00051
++++ EVENT no. 5 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 6	eta = -0.75106	p_x = -0.19773	p_y = -0.99134	p_z = -0.83264	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = -0.96914	p_x = 0.18516	p_y = 1.01416	p_z = -1.16302	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.51448	p_x = 0.00007	p_y = 0.00019	p_z = 0.00011	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.79986	p_x = -0.00006	p_y = -0.00007	p_z = -0.00008	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.21101	p_x = -0.00014	p_y = 0.00009	p_z = 0.00003	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -1.06080	p_x = -0.02485	p_y = 0.00493	p_z = -0.03221	m = 0.00051
 i = 6	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.39189	p_x = -0.00023	p_y = 0.00009	p_z = -0.00010	m = 0.00051
 i = 7	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.77033	p_x = -0.00007	p_y = -0.00005	p_z = 0.00008	m = 0.00051
 i = 8	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.44387	p_x = 0.00018	p_y = -0.00009	p_z = -0.00009	m = 0.00051
 i = 9	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.48996	p_x = -0.00007	p_y = 0.00008	p_z = -0.00006	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.97557	p_x = 0.00007	p_y = 0.00001	p_z = -0.00008	m = 0.00051
 i = 11	mother = 0	pdg = -11	name = e+	daughter = -1	eta = -1.48320	p_x = 0.01202	p_y = -0.00830	p_z = -0.03053	m = 0.00051
++++ EVENT no. 6 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 4	eta = 0.83103	p_x = 1.02952	p_y = -1.54733	p_z = 1.72851	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = 0.37030	p_x = -1.09448	p_y = 1.58235	p_z = 0.72885	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.91696	p_x = -0.00003	p_y = 0.00023	p_z = -0.00025	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.36480	p_x = -0.03891	p_y = 0.00778	p_z = 0.01480	m = 0.00051
 i = 4	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.22893	p_x = 0.00014	p_y = 0.00023	p_z = 0.00042	m = 0.00051
 i = 5	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.13586	p_x = 0.00027	p_y = 0.00002	p_z = -0.00004	m = 0.00051
